product_category_name,total_revenue,orders,revenue_share
beleza_saude,1441248.0700000043,8836,0.0922
relogios_presentes,1305541.610000002,5624,0.0835
cama_mesa_banho,1241681.720000002,9417,0.0794
esporte_lazer,1156656.4799999995,7720,0.074
informatica_acessorios,1059272.4,6689,0.0677
moveis_decoracao,902511.7899999983,6449,0.0577
utilidades_domesticas,778397.7700000003,5884,0.0498
cool_stuff,719329.949999999,3632,0.046
automotivo,685384.3200000009,3897,0.0438
ferramentas_jardim,584219.2100000023,3518,0.0374
brinquedos,561372.5499999996,3886,0.0359
bebes,480117.9999999987,2885,0.0307
perfumaria,453338.7100000037,3162,0.029
telefonia,394883.3200000055,4199,0.0253
moveis_escritorio,342532.6499999996,1273,0.0219
papelaria,277741.7100000011,2311,0.0178
pet_shop,253876.65000000017,1710,0.0162
pcs,232799.4300000001,181,0.0149
instrumentos_musicais,210137.3700000002,628,0.0134
eletronicos,206825.06000000078,2550,0.0132
eletroportateis,206668.82999999984,630,0.0132
fashion_bolsas_e_acessorios,184273.53999999986,1864,0.0118
consoles_games,177293.24000000057,1062,0.0113
malas_acessorios,170875.20999999982,1034,0.0109
construcao_ferramentas_construcao,165327.99999999968,748,0.0106
eletrodomesticos_2,123917.92000000007,234,0.0079
casa_construcao,96920.36,490,0.0062
eletrodomesticos,94990.42999999993,764,0.0061
moveis_sala,86884.73000000004,422,0.0056
agro_industria_e_comercio,78374.06999999999,182,0.005
casa_conforto,67073.26999999999,397,0.0043
telefonia_fixa,64220.80999999997,217,0.0041
climatizacao,61774.19000000002,253,0.004
moveis_cozinha_area_de_servico_jantar_e_jardim,58327.79999999999,248,0.0037
audio,56398.939999999995,350,0.0036
livros_interesse_geral,56052.4,512,0.0036
portateis_casa_forno_e_cafe,50193.57000000001,75,0.0032
construcao_ferramentas_iluminacao,48663.80000000001,244,0.0031
industria_comercio_e_negocios,47554.289999999964,235,0.003
construcao_ferramentas_seguranca,44463.619999999995,167,0.0028
alimentos,36664.439999999944,450,0.0023
market_place,33834.53000000002,280,0.0022
construcao_ferramentas_jardim,31027.289999999994,194,0.002
fashion_calcados,28481.63999999999,240,0.0018
artes,28247.809999999994,202,0.0018
bebidas,28169.950000000008,297,0.0018
sinalizacao_e_seguranca,28017.050000000032,140,0.0018
moveis_quarto,24661.01000000001,95,0.0016
livros_tecnicos,23379.119999999984,260,0.0015
alimentos_bebidas,19687.469999999987,227,0.0013
construcao_ferramentas_ferramentas,17934.17,97,0.0011
fashion_roupa_masculina,12950.230000000003,112,0.0008
artigos_de_natal,12030.120000000003,128,0.0008
fashion_underwear_e_moda_praia,11457.740000000002,121,0.0007
tablets_impressao_imagem,8754.609999999997,79,0.0006
cine_foto,8189.660000000001,65,0.0005
dvds_blu_ray,7288.129999999999,59,0.0005
musica,6724.859999999998,38,0.0004
moveis_colchao_e_estofado,5998.539999999999,38,0.0004
livros_importados,5409.700000000003,53,0.0003
artigos_de_festas,5313.150000000001,39,0.0003
portateis_cozinha_e_preparadores_de_alimentos,4278.29,14,0.0003
fashion_roupa_feminina,3425.390000000001,39,0.0002
fashion_esporte,2697.6400000000003,27,0.0002
la_cuisine,2388.54,13,0.0002
artes_e_artesanato,2184.1400000000003,23,0.0001
fraldas_higiene,2141.2700000000004,27,0.0001
pc_gamer,1679.52,8,0.0001
flores,1598.9100000000003,29,0.0001
casa_conforto_2,1170.58,24,0.0001
cds_dvds_musicais,954.9900000000002,12,0.0001
fashion_roupa_infanto_juvenil,665.36,8,0.0
seguros_e_servicos,324.51,2,0.0
